<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220530,133500,33371.17,33384.17,33361.67,33378.67,267
20220530,134000,33378.17,33384.67,33365.17,33370.42,243
20220530,134500,33370.67,33373.17,33357.67,33365.07,245
20220530,135000,33365.67,33365.67,33344.47,33354.33,228
20220530,135500,33353.27,33374.92,33349.00,33374.92,283
20220530,140000,33375.67,33375.67,33347.17,33350.50,224
20220530,140500,33351.33,33366.17,33339.30,33364.67,250
20220530,141000,33365.07,33376.81,33364.17,33376.07,170
20220530,141500,33375.67,33378.83,33355.00,33363.17,203
20220530,142000,33362.17,33365.17,33355.30,33359.17,156
20220530,142500,33358.17,33367.30,33352.30,33357.92,135
20220530,143000,33357.17,33358.33,33337.52,33338.17,185
20220530,143500,33337.42,33340.07,33320.42,33328.67,181
20220530,144000,33328.00,33329.67,33311.17,33315.33,153
20220530,144500,33316.67,33326.00,33313.42,33321.27,181
20220530,145000,33324.33,33327.67,33317.17,33327.67,145
20220530,145500,33327.42,33327.67,33313.30,33321.92,165
20220530,150000,33321.67,33321.92,33305.33,33308.67,197
20220530,150500,33308.30,33316.38,33301.38,33302.33,143
20220530,151000,33303.00,33303.00,33295.87,33300.48,113
20220530,151500,33300.17,33313.07,33300.17,33310.00,206
20220530,152000,33309.67,33316.33,33306.17,33313.67,184
20220530,152500,33313.42,33326.07,33312.27,33325.17,189
20220530,153000,33325.44,33332.17,33322.67,33331.17,152
20220530,153500,33331.67,33332.38,33314.67,33318.33,211
20220530,154000,33317.78,33336.79,33316.09,33333.47,220
20220530,154500,33333.17,33348.57,33329.17,33346.17,229
20220530,155000,33345.30,33354.17,33345.30,33351.67,126
20220530,155500,33351.27,33353.33,33345.83,33352.33,131
20220530,160000,33352.17,33373.17,33352.17,33367.33,165
20220530,160500,33367.17,33369.17,33360.87,33369.17,147
20220530,161000,33369.92,33369.92,33343.27,33343.27,189
20220530,161500,33342.47,33346.42,33318.47,33319.67,298
20220530,162000,33321.17,33330.24,33301.30,33304.67,442
20220530,162500,33305.33,33305.92,33284.07,33289.00,343
20220530,163000,33289.13,33289.97,33265.97,33272.97,391
20220530,163500,33271.73,33281.72,33240.97,33244.13,417
20220530,164000,33245.47,33276.67,33242.07,33269.13,353
20220530,164500,33268.97,33276.65,33259.47,33269.47,304
20220530,165000,33269.97,33292.27,33266.80,33283.97,307
20220530,165500,33284.97,33287.97,33259.97,33263.47,341
20220530,170000,33262.47,33276.72,33252.47,33275.97,312
20220530,170500,33275.22,33275.22,33249.30,33258.72,304
20220530,171000,33259.59,33275.72,33257.22,33257.22,353
20220530,171500,33256.97,33269.47,33244.18,33268.22,409
20220530,172000,33268.97,33268.97,33258.40,33263.97,194
20220530,172500,33264.13,33274.97,33262.22,33274.22,149
20220530,173000,33274.13,33289.75,33274.13,33288.80,195
20220530,173500,33287.80,33288.72,33262.97,33263.97,252
20220530,174000,33264.13,33272.13,33262.22,33268.13,273
20220530,174500,33268.27,33296.97,33264.80,33293.47,290
20220530,175000,33292.22,33296.13,33284.80,33295.13,253
20220530,175500,33295.80,33310.47,33295.47,33302.97,272
20220530,180000,33303.87,33303.97,33280.80,33281.97,368
