<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BCHUSDT,d,20210127,000000,427.6000,428.0800,369.7900,377.1700,277907.15105,377.1700,5718
BCHUSDT,d,20210128,000000,377.2500,414.6600,370.1400,404.7500,199449.34452,404.7500,5718
BCHUSDT,d,20210129,000000,404.7700,435.0800,391.1200,407.0300,413125.53863,407.0300,5718
BCHUSDT,d,20210130,000000,407.0900,419.9100,392.1300,417.0200,212546.27868,417.0200,5718
BCHUSDT,d,20210131,000000,417.0000,417.0500,390.5100,399.3000,150953.57725,399.3000,5718
BCHUSDT,d,20210201,000000,399.3000,445.7200,389.5100,414.4800,319432.99763,414.4800,5718
BCHUSDT,d,20210202,000000,414.4300,434.9400,410.9700,430.3100,208441.09144,430.3100,5718
BCHUSDT,d,20210203,000000,430.2300,449.8000,428.0900,446.1000,213884.22723,446.1000,5718
BCHUSDT,d,20210204,000000,446.1300,454.9400,412.7400,420.9100,237044.73323,420.9100,5718
BCHUSDT,d,20210205,000000,421.0300,449.0000,417.5400,447.7200,196582.9991,447.720,5718
BCHUSDT,d,20210206,000000,447.8600,490.2500,445.7900,457.7800,466508.66429,457.7800,5718
BCHUSDT,d,20210207,000000,458.2700,464.0600,429.3700,444.8000,263930.56916,444.800,5718
BCHUSDT,d,20210208,000000,444.7700,488.8600,436.5400,483.9900,287368.36575,483.990,5718
BCHUSDT,d,20210209,000000,483.9900,519.5000,472.7000,514.4200,430012.31946,514.4200,5718
BCHUSDT,d,20210210,000000,514.8500,538.9600,467.5100,494.8500,478451.22132,494.8500,5718
BCHUSDT,d,20210211,000000,495.0800,542.4700,490.5100,530.4000,309368.45755,530.400,5718
BCHUSDT,d,20210212,000000,529.9100,580.0000,509.8400,576.4300,385756.27494,576.4300,5718
BCHUSDT,d,20210213,000000,576.1500,668.6000,540.0000,668.3000,577319.14253,668.300,5718
BCHUSDT,d,20210214,000000,668.3200,749.0000,652.0000,720.4400,781088.02231,720.4400,5718
BCHUSDT,d,20210215,000000,720.4000,773.8400,601.0000,715.5200,895763.44291,715.520,5718
BCHUSDT,d,20210216,000000,715.6100,745.0000,668.8000,705.3900,491219.64157,705.390,5718
BCHUSDT,d,20210217,000000,705.5100,726.9000,675.2600,716.4500,353699.36465,716.4500,5718
BCHUSDT,d,20210218,000000,716.3900,730.0000,688.7500,703.7000,266720.76954,703.7000,5718
BCHUSDT,d,20210219,000000,704.0400,744.1200,681.2600,718.9800,358793.83868,718.9800,5718
BCHUSDT,d,20210220,000000,718.9500,748.8800,626.6500,678.2900,463755.2178,678.2900,5718
BCHUSDT,d,20210221,000000,678.0900,736.6100,665.5100,706.2800,360628.16695,706.2800,5718
BCHUSDT,d,20210222,000000,706.1600,710.4200,535.1700,628.9800,597641.03008,628.9800,5718
BCHUSDT,d,20210223,000000,628.6000,632.5300,407.8000,515.8400,907191.49638,515.8400,5718
BCHUSDT,d,20210224,000000,515.8400,556.1300,495.5300,526.9900,404924.08945,526.9900,5718
BCHUSDT,d,20210225,000000,527.0800,558.0000,493.6200,499.6700,317396.69135,499.6700,5718
BCHUSDT,d,20210226,000000,499.0600,508.6000,457.2200,484.4600,371279.79721,484.4600,5718
BCHUSDT,d,20210227,000000,484.4600,510.0000,473.0900,483.3500,190832.45909,483.3500,5718
BCHUSDT,d,20210228,000000,483.2100,485.2500,431.4000,460.1200,283779.03547,460.1200,5718
BCHUSDT,d,20210301,000000,460.1700,506.3500,457.2800,501.6100,197158.98818,501.6100,5718
BCHUSDT,d,20210302,000000,501.3500,549.8700,494.0600,517.6200,351409.62259,517.6200,5718
BCHUSDT,d,20210303,000000,517.4900,555.7100,510.7900,520.8200,253513.1959,520.8200,5718
BCHUSDT,d,20210304,000000,520.8400,538.7300,492.4300,505.3100,192087.46194,505.3100,5718
BCHUSDT,d,20210305,000000,505.4600,505.8300,472.7000,497.2200,147000.38455,497.2200,5718
BCHUSDT,d,20210306,000000,496.9500,505.8700,482.2800,500.3800,82735.55778,500.3800,5718
BCHUSDT,d,20210307,000000,500.3100,519.1100,500.3100,516.5600,104970.71072,516.5600,5718
BCHUSDT,d,20210308,000000,516.8300,529.8400,500.3300,529.1500,151597.32597,529.1500,5718
BCHUSDT,d,20210309,000000,529.2000,547.1300,523.2200,545.3200,143611.2855,545.320,5718
BCHUSDT,d,20210310,000000,545.4400,568.2400,517.0000,546.2700,229766.30389,546.2700,5718
BCHUSDT,d,20210311,000000,546.4200,565.1500,528.0000,549.8500,244274.8919,549.850,5718
BCHUSDT,d,20210312,000000,549.8100,564.0800,508.8900,538.4400,209147.55984,538.440,5718
BCHUSDT,d,20210313,000000,538.3600,608.9600,521.2700,593.9900,260595.48583,593.9900,5718
BCHUSDT,d,20210314,000000,594.0600,601.9800,551.1800,552.0200,197851.56796,552.0200,5718
BCHUSDT,d,20210315,000000,551.7200,568.1600,514.5600,523.2000,218431.83319,523.200,5718
BCHUSDT,d,20210316,000000,523.5600,538.4500,502.2000,528.5000,143752.20213,528.5000,5718
BCHUSDT,d,20210317,000000,528.6300,542.0400,511.4000,541.5700,90157.53471,541.570,5718
BCHUSDT,d,20210318,000000,541.6700,547.0000,522.5900,528.1700,106568.49627,528.1700,5718
BCHUSDT,d,20210319,000000,528.4500,551.0000,516.9200,532.3700,93469.59007,532.370,5718
BCHUSDT,d,20210320,000000,532.3000,551.8800,529.5100,536.0500,80188.49595,536.050,5718
BCHUSDT,d,20210321,000000,536.2800,543.2600,515.0000,523.5900,74186.58933,523.5900,5718
BCHUSDT,d,20210322,000000,523.5800,539.6300,506.0000,509.0700,129368.92675,509.0700,5718
BCHUSDT,d,20210323,000000,509.1000,533.5900,505.4000,510.7600,143098.49874,510.7600,5718
BCHUSDT,d,20210324,000000,510.8100,529.5800,441.4700,474.2200,151972.99143,474.2200,5718
BCHUSDT,d,20210325,000000,474.2300,482.4000,451.0000,472.8000,133333.27476,472.8000,5718
BCHUSDT,d,20210326,000000,472.7900,507.6900,470.3600,505.8100,125094.96215,505.8100,5718
BCHUSDT,d,20210327,000000,505.7500,509.6600,484.8800,500.5800,68717.5698,500.5800,5718
BCHUSDT,d,20210328,000000,500.5900,505.5900,485.0000,497.0400,65710.04194,497.0400,5718
BCHUSDT,d,20210329,000000,497.1000,525.0000,491.5000,518.3600,86795.79347,518.3600,5718
BCHUSDT,d,20210330,000000,518.3700,536.5500,511.3000,525.7500,84618.16447,525.7500,5718
BCHUSDT,d,20210331,000000,525.7500,545.1500,502.6300,541.0600,129530.08694,541.0600,5718
BCHUSDT,d,20210401,000000,541.1100,560.0000,528.6500,556.6600,148840.2563,556.6600,5718
BCHUSDT,d,20210402,000000,556.6600,598.5400,545.1300,580.6400,206037.03486,580.6400,5718
BCHUSDT,d,20210403,000000,580.4000,595.9100,529.1000,530.5900,184193.06816,530.5900,5718
BCHUSDT,d,20210404,000000,530.6600,564.4000,521.0700,560.7800,107555.14523,560.7800,5718
BCHUSDT,d,20210405,000000,560.8000,650.0000,553.6600,647.2100,293929.35765,647.2100,5718
BCHUSDT,d,20210406,000000,647.2400,673.9000,614.6800,662.5000,304984.29926,662.5000,5718
BCHUSDT,d,20210407,000000,662.7100,694.7100,594.2900,615.9300,400244.94801,615.9300,5718
BCHUSDT,d,20210408,000000,615.7700,643.8200,609.1400,643.3500,145110.49667,643.3500,5718
BCHUSDT,d,20210409,000000,642.9300,649.7000,625.0000,631.2100,111815.69502,631.2100,5718
BCHUSDT,d,20210410,000000,631.3800,681.9000,624.3700,673.1000,198066.10152,673.100,5718
BCHUSDT,d,20210411,000000,673.4100,715.7000,669.4800,689.6500,262377.89271,689.6500,5718
BCHUSDT,d,20210412,000000,689.6800,700.0000,652.0500,670.3900,163792.2563,670.390,5718
BCHUSDT,d,20210413,000000,670.5700,752.0000,666.8000,745.1400,322260.75205,745.140,5718
BCHUSDT,d,20210414,000000,745.0600,846.0000,744.8800,814.8500,592566.44498,814.8500,5718
BCHUSDT,d,20210415,000000,814.6100,876.8700,797.7000,864.8200,329984.5866,864.8200,5718
BCHUSDT,d,20210416,000000,864.4400,1175.1400,816.1900,1103.5300,1040206.08635,1103.530,5718
BCHUSDT,d,20210417,000000,1103.5400,1219.9800,988.6200,991.7600,733523.99364,991.7600,5718
BCHUSDT,d,20210418,000000,992.1100,1015.3000,806.8900,972.5100,781742.51031,972.510,5718
BCHUSDT,d,20210419,000000,972.5100,1040.5200,872.1800,891.2700,538626.70315,891.2700,5718
BCHUSDT,d,20210420,000000,891.5700,972.6900,828.0000,940.7900,474777.94408,940.790,5718
BCHUSDT,d,20210421,000000,940.4100,998.8000,899.3100,909.2000,390598.05242,909.200,5718
BCHUSDT,d,20210422,000000,909.2700,971.6100,840.0000,853.0800,418319.88377,853.0800,5718
BCHUSDT,d,20210423,000000,853.2200,874.4400,685.3600,839.3400,608416.42846,839.3400,5718
BCHUSDT,d,20210424,000000,839.3400,843.0100,747.7900,770.4100,255044.98998,770.4100,5718
BCHUSDT,d,20210425,000000,771.3600,807.0100,715.2800,758.8700,164175.23223,758.8700,5718
BCHUSDT,d,20210426,000000,759.3000,850.0000,750.4400,848.8800,240883.28745,848.8800,5718
BCHUSDT,d,20210427,000000,848.8900,892.0000,832.1900,890.5800,190490.33123,890.5800,5718
BCHUSDT,d,20210428,000000,890.1500,929.0000,852.3900,910.4400,251408.92114,910.4400,5718
BCHUSDT,d,20210429,000000,910.4400,915.0000,859.0100,880.4300,154378.4938,880.4300,5718
BCHUSDT,d,20210430,000000,880.2300,1000.8300,869.0500,995.5100,211812.19281,995.5100,5718
BCHUSDT,d,20210501,000000,995.9000,1031.2700,975.9000,1003.7700,186785.08757,1003.7700,5718
BCHUSDT,d,20210502,000000,1003.5500,1011.0000,950.3200,972.2500,120636.34335,972.2500,5718
BCHUSDT,d,20210503,000000,972.6700,1049.0000,971.2000,1015.0200,170309.4877,1015.0200,5718
BCHUSDT,d,20210504,000000,1015.6800,1055.9900,930.6900,950.8900,400173.45451,950.8900,5718
BCHUSDT,d,20210505,000000,951.0200,1477.0000,939.0100,1453.4900,982455.57352,1453.4900,5718
BCHUSDT,d,20210506,000000,1453.0400,1610.3000,1270.1200,1509.2700,1022211.69691,1509.2700,5718
BCHUSDT,d,20210507,000000,1509.2200,1511.4200,1269.4400,1340.7200,571117.72722,1340.7200,5718
BCHUSDT,d,20210508,000000,1340.1500,1449.6300,1322.3300,1396.8600,354887.17744,1396.8600,5718
BCHUSDT,d,20210509,000000,1396.7300,1430.0000,1282.7300,1427.8000,257872.90404,1427.8000,5718
BCHUSDT,d,20210510,000000,1427.8700,1571.8700,1198.1500,1321.3100,480686.22854,1321.3100,5718
BCHUSDT,d,20210511,000000,1321.2000,1550.0000,1300.0000,1547.5100,351316.20726,1547.5100,5718
BCHUSDT,d,20210512,000000,1548.2900,1650.0000,1200.0000,1236.4600,490390.17148,1236.460,5718
BCHUSDT,d,20210513,000000,1236.4600,1344.1000,1133.4200,1258.5200,551513.17345,1258.5200,5718
BCHUSDT,d,20210514,000000,1257.1100,1361.4400,1223.7900,1296.3800,246717.05169,1296.380,5718
BCHUSDT,d,20210515,000000,1296.7800,1336.8400,1161.7900,1171.7500,241359.96058,1171.750,5718
BCHUSDT,d,20210516,000000,1171.3600,1282.0000,1098.9300,1166.6900,281277.75587,1166.6900,5718
BCHUSDT,d,20210517,000000,1166.8800,1168.1400,988.4300,1069.7400,404222.98907,1069.7400,5718
BCHUSDT,d,20210518,000000,1069.6200,1166.1300,1051.2000,1089.3200,231294.37703,1089.320,5718
BCHUSDT,d,20210519,000000,1089.4300,1113.0600,490.0000,694.5100,943458.65757,694.5100,5718
BCHUSDT,d,20210520,000000,694.5000,864.2800,600.0000,817.6500,587781.52102,817.650,5718
BCHUSDT,d,20210521,000000,817.5800,850.9300,604.0000,687.5000,699870.06323,687.5000,5718
BCHUSDT,d,20210522,000000,687.5100,721.7600,598.9800,629.8500,456596.53325,629.850,5718
BCHUSDT,d,20210523,000000,629.9600,659.8500,468.1300,552.3700,687431.92972,552.370,5718
BCHUSDT,d,20210524,000000,551.7400,759.9900,538.1100,754.0000,470042.80887,754.0000,5718
BCHUSDT,d,20210525,000000,753.8000,792.6100,667.6000,718.7900,453339.03018,718.7900,5718
BCHUSDT,d,20210526,000000,719.5000,788.6600,707.2400,763.9600,269036.81715,763.9600,5718
BCHUSDT,d,20210527,000000,764.1600,806.8700,700.5200,750.0300,233887.66575,750.0300,5718
BCHUSDT,d,20210528,000000,750.2000,761.5700,652.2500,688.2800,302614.79017,688.2800,5718
