<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190911,000000,1.10431,1.10555,1.09856,1.10104,16381
20190912,000000,1.10104,1.10873,1.09272,1.10636,49892
20190913,000000,1.10645,1.11095,1.10555,1.10757,23814
20190916,000000,1.10731,1.10862,1.09934,1.09996,19762
20190917,000000,1.09992,1.10745,1.09904,1.10722,20196
20190918,000000,1.10720,1.10757,1.10137,1.10293,22733
20190919,000000,1.10295,1.10735,1.10235,1.10408,15823
20190920,000000,1.10406,1.10676,1.09968,1.10193,17697
20190923,000000,1.10161,1.10253,1.09663,1.09929,18167
20190924,000000,1.09932,1.10240,1.09840,1.10200,15066
20190925,000000,1.10197,1.10231,1.09376,1.09426,14981
20190926,000000,1.09422,1.09674,1.09087,1.09196,14918
20190927,000000,1.09203,1.09588,1.09048,1.09410,13467
20190930,000000,1.09421,1.09479,1.08850,1.08968,10798
20191001,000000,1.08972,1.09426,1.08792,1.09322,14035
20191002,000000,1.09327,1.09633,1.09042,1.09588,12374
20191003,000000,1.09591,1.09992,1.09409,1.09641,15284
20191004,000000,1.09641,1.09975,1.09572,1.09766,15672
20191007,000000,1.09817,1.10006,1.09622,1.09704,9190
20191008,000000,1.09702,1.09955,1.09411,1.09565,13561
20191009,000000,1.09554,1.09898,1.09493,1.09714,9434
20191010,000000,1.09706,1.10338,1.09706,1.10052,14513
20191011,000000,1.10052,1.10627,1.10013,1.10350,19041
20191014,000000,1.10298,1.10426,1.10135,1.10253,9591
20191015,000000,1.10253,1.10461,1.09914,1.10328,20081
20191016,000000,1.10329,1.10852,1.10225,1.10716,18826
20191017,000000,1.10716,1.11399,1.10652,1.11242,16174
20191018,000000,1.11243,1.11705,1.11148,1.11705,12635
20191021,000000,1.11597,1.11794,1.11391,1.11493,6535
20191022,000000,1.11491,1.11568,1.11178,1.11251,7607
20191023,000000,1.11250,1.11401,1.11063,1.11306,6564
20191024,000000,1.11297,1.11627,1.10934,1.11041,10082
20191025,000000,1.11040,1.11229,1.10730,1.10794,6070
20191028,000000,1.10804,1.11066,1.10768,1.10996,4678
20191029,000000,1.10998,1.11182,1.10741,1.11120,5335
20191030,000000,1.11122,1.11508,1.10803,1.11504,12414
20191031,000000,1.11505,1.11757,1.11317,1.11513,9347
20191101,000000,1.11513,1.11717,1.11283,1.11643,8407
20191104,000000,1.11679,1.11755,1.11248,1.11281,5366
20191105,000000,1.11281,1.11391,1.10640,1.10743,9357
20191106,000000,1.10741,1.10927,1.10653,1.10663,3952
20191107,000000,1.10661,1.10915,1.10362,1.10498,7981
20191108,000000,1.10495,1.10554,1.10172,1.10189,5685
20191111,000000,1.10225,1.10429,1.10171,1.10330,4219
20191112,000000,1.10330,1.10386,1.10026,1.10091,7494
20191113,000000,1.10090,1.10201,1.09955,1.10065,9618
20191114,000000,1.10063,1.10275,1.09893,1.10214,9138
20191115,000000,1.10219,1.10568,1.10147,1.10519,6996
20191118,000000,1.10501,1.10900,1.10485,1.10720,6466
20191119,000000,1.10721,1.10836,1.10629,1.10783,7446
20191120,000000,1.10781,1.10809,1.10531,1.10722,9106
20191121,000000,1.10722,1.10965,1.10523,1.10585,7375
20191122,000000,1.10587,1.10869,1.10147,1.10197,9610
20191125,000000,1.10156,1.10318,1.10039,1.10133,5651
20191126,000000,1.10139,1.10253,1.10073,1.10204,5443
20191127,000000,1.10201,1.10245,1.09924,1.09994,3741
20191128,000000,1.09996,1.10178,1.09992,1.10080,7433
20191129,000000,1.10083,1.10280,1.09813,1.10202,6160
20191202,000000,1.10241,1.10890,1.10032,1.10789,4089
20191203,000000,1.10790,1.10934,1.10663,1.10813,3949
20191204,000000,1.10816,1.11161,1.10670,1.10776,5209
20191205,000000,1.10776,1.11080,1.10776,1.11037,3070
20191206,000000,1.11043,1.11094,1.10402,1.10603,6050
20191209,000000,1.10576,1.10779,1.10535,1.10637,3607
20191210,000000,1.10639,1.10975,1.10629,1.10923,4116
20191211,000000,1.10922,1.11446,1.10703,1.11295,6681
20191212,000000,1.11284,1.11541,1.11039,1.11272,7231
20191213,000000,1.11264,1.11995,1.11020,1.11179,19769
20191216,000000,1.11281,1.11574,1.11227,1.11438,5936
20191217,000000,1.11439,1.11745,1.11296,1.11495,6267
20191218,000000,1.11492,1.11543,1.11106,1.11133,4659
20191219,000000,1.11134,1.11439,1.11073,1.11202,5379
20191220,000000,1.11209,1.11249,1.10669,1.10751,5480
20191223,000000,1.10805,1.10958,1.10700,1.10890,5354
20191224,000000,1.10889,1.10938,1.10697,1.10865,8096
20191226,000000,1.10869,1.11089,1.10825,1.10959,2261
20191227,000000,1.10962,1.11879,1.10940,1.11761,8672
20191230,000000,1.11757,1.12205,1.11718,1.11986,6488
20191231,000000,1.11985,1.12391,1.11967,1.12228,6797
20200102,000000,1.12076,1.12140,1.11636,1.11720,3722
20200103,000000,1.11721,1.11798,1.11252,1.11558,6413
20200106,000000,1.11657,1.12053,1.11574,1.11971,5002
20200107,000000,1.11973,1.11975,1.11338,1.11525,5881
20200108,000000,1.11513,1.11683,1.11021,1.11055,10285
20200109,000000,1.11055,1.11205,1.10937,1.11057,4607
20200110,000000,1.11057,1.11286,1.10856,1.11211,5365
20200113,000000,1.11166,1.11463,1.11120,1.11341,3350
20200114,000000,1.11340,1.11443,1.11050,1.11269,4880
20200115,000000,1.11269,1.11632,1.11188,1.11496,3674
20200116,000000,1.11497,1.11724,1.11294,1.11365,3478
20200117,000000,1.11366,1.11426,1.10869,1.10894,3512
20200120,000000,1.10911,1.11023,1.10771,1.10946,6723
20200121,000000,1.10946,1.11179,1.10811,1.10821,3869
20200122,000000,1.10820,1.10982,1.10710,1.10926,4780
20200123,000000,1.10926,1.11087,1.10365,1.10512,7101
20200124,000000,1.10512,1.10618,1.10205,1.10260,5852
20200127,000000,1.10307,1.10375,1.10100,1.10188,5643
20200128,000000,1.10190,1.10250,1.09982,1.10222,3768
20200129,000000,1.10224,1.10276,1.09924,1.10102,5138
20200130,000000,1.10097,1.10389,1.10065,1.10312,5453
20200131,000000,1.10305,1.10954,1.10171,1.10946,7044
20200203,000000,1.10935,1.10937,1.10342,1.10590,76512
20200204,000000,1.10590,1.10636,1.10324,1.10437,68443
20200205,000000,1.10440,1.10474,1.09932,1.09982,71213
20200206,000000,1.09983,1.10135,1.09640,1.09813,61586
20200207,000000,1.09813,1.09845,1.09415,1.09427,74145
20200210,000000,1.09421,1.09570,1.09072,1.09105,58975
20200211,000000,1.09104,1.09242,1.08908,1.09146,59957
20200212,000000,1.09146,1.09251,1.08648,1.08717,63504
20200213,000000,1.08726,1.08884,1.08336,1.08385,66696
20200214,000000,1.08392,1.08607,1.08269,1.08300,57436
20200217,000000,1.08400,1.08505,1.08287,1.08344,38332
20200218,000000,1.08344,1.08371,1.07851,1.07908,68665
20200219,000000,1.07907,1.08113,1.07817,1.08032,66561
20200220,000000,1.08031,1.08206,1.07774,1.07838,84746
20200221,000000,1.07838,1.08630,1.07833,1.08472,82633
20200224,000000,1.08137,1.08717,1.08046,1.08525,106500
20200225,000000,1.08523,1.08900,1.08296,1.08808,105813
20200226,000000,1.08807,1.09082,1.08545,1.08804,121052
20200227,000000,1.08804,1.10061,1.08755,1.09995,142346
20200228,000000,1.09991,1.10527,1.09504,1.10292,177508
20200302,000000,1.10445,1.11848,1.10359,1.11330,191230
20200303,000000,1.11330,1.12129,1.10948,1.11689,183728
20200304,000000,1.11692,1.11871,1.10950,1.11334,139955
20200305,000000,1.11334,1.12445,1.11191,1.12369,125926
20200306,000000,1.12369,1.13544,1.12112,1.12894,213466
20200309,000000,1.13494,1.14942,1.13354,1.14368,298672
20200310,000000,1.14284,1.14575,1.12743,1.12794,300288
20200311,000000,1.12787,1.13662,1.12569,1.12688,221397
20200312,000000,1.12695,1.13330,1.10548,1.11840,302967
20200313,000000,1.11839,1.12206,1.10545,1.11033,297993
20200316,000000,1.10734,1.12362,1.10724,1.11796,362082
20200317,000000,1.11794,1.11887,1.09544,1.09957,315431
20200318,000000,1.09959,1.10446,1.08012,1.09086,355232
20200319,000000,1.09083,1.09805,1.06544,1.06907,384692
20200320,000000,1.06902,1.08304,1.06373,1.06932,395625
20200323,000000,1.07062,1.08275,1.06355,1.07260,378308
20200324,000000,1.07252,1.08876,1.07205,1.07860,295413
20200325,000000,1.07860,1.08934,1.07597,1.08816,265566
20200326,000000,1.08819,1.10583,1.08696,1.10298,244296
20200327,000000,1.10296,1.11468,1.09529,1.11428,236640
20200330,000000,1.11169,1.11436,1.10096,1.10427,194198
20200331,000000,1.10420,1.10529,1.09261,1.10292,241163
20200401,000000,1.10287,1.10385,1.09021,1.09603,179829
20200402,000000,1.09612,1.09678,1.08202,1.08543,189824
20200403,000000,1.08549,1.08645,1.07722,1.08117,154133
20200406,000000,1.08095,1.08350,1.07679,1.07905,149549
20200407,000000,1.07921,1.09254,1.07833,1.08908,149955
20200408,000000,1.08900,1.09016,1.08294,1.08560,134928
20200409,000000,1.08560,1.09511,1.08405,1.09283,145464
20200410,000000,1.09285,1.09520,1.09188,1.09355,51683
20200413,000000,1.09486,1.09672,1.08921,1.09053,83503
20200414,000000,1.09057,1.09866,1.09016,1.09793,122129
20200415,000000,1.09781,1.09902,1.08565,1.09094,127779
20200416,000000,1.09077,1.09107,1.08162,1.08371,145625
20200417,000000,1.08365,1.08920,1.08115,1.08734,141513
20200420,000000,1.08626,1.08963,1.08407,1.08597,112987
20200421,000000,1.08594,1.08797,1.08161,1.08562,135894
20200422,000000,1.08557,1.08847,1.08027,1.08225,106462
20200423,000000,1.08225,1.08463,1.07555,1.07760,140905
20200424,000000,1.07760,1.08251,1.07265,1.08239,118737
20200427,000000,1.08211,1.08598,1.08108,1.08277,110079
20200428,000000,1.08270,1.08880,1.08090,1.08183,110350
20200429,000000,1.08180,1.08852,1.08166,1.08705,111196
20200430,000000,1.08710,1.09721,1.08324,1.09514,147679
20200501,000000,1.09505,1.10190,1.09340,1.09798,104089
20200504,000000,1.09663,1.09735,1.08952,1.09041,111832
