<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Bimeh,d,20201124,000000,63238.5200,63913.6100,63238.5200,63838.1200,65127850,63838.120,5718
Bimeh,d,20201125,000000,64114.4900,65800.2300,64114.4900,65795.9800,43497051,65795.9800,5718
Bimeh,d,20201128,000000,66643.1500,67704.2100,66643.1500,67648.4800,36051194,67648.4800,5718
Bimeh,d,20201129,000000,68599.4500,69186.1700,68599.4500,69185.2500,44899908,69185.2500,5718
Bimeh,d,20201130,000000,69305.6000,71321.6300,69305.6000,71323.6900,39232246,71323.6900,5718
Bimeh,d,20201201,000000,71467.6000,73768.9600,71467.6000,73762.8700,55636514,73762.8700,5718
Bimeh,d,20201202,000000,74682.5400,75705.4900,74682.5400,75595.5200,90703886,75595.5200,5718
Bimeh,d,20201205,000000,75568.3900,79930.4600,75315.9800,79934.0700,420980943,79934.0700,5718
Bimeh,d,20201206,000000,81090.1400,81157.7000,80568.9600,80593.3400,249562322,80593.3400,5718
Bimeh,d,20201207,000000,79630.1900,80963.7600,79630.1900,80697.9900,402806561,80697.9900,5718
Bimeh,d,20201208,000000,81751.0800,81751.0800,81206.9100,81586.1900,272619565,81586.1900,5718
Bimeh,d,20201209,000000,83590.2100,84833.5300,83590.2100,84822.0200,401788000,84822.0200,5718
Bimeh,d,20201212,000000,86004.5600,86004.5600,84967.4000,85238.8100,375461451,85238.8100,5718
Bimeh,d,20201213,000000,84745.4700,85530.9100,84304.6700,85511.6900,319123353,85511.6900,5718
Bimeh,d,20201214,000000,86554.6100,86554.6100,85747.0500,85736.7100,193894486,85736.7100,5718
Bimeh,d,20201215,000000,83887.2200,83887.2200,83370.9600,83361.7000,234144883,83361.7000,5718
Bimeh,d,20201216,000000,81640.2500,82498.6800,81640.2500,82490.0900,197247642,82490.0900,5718
Bimeh,d,20201219,000000,82688.6700,83571.8100,82688.6700,83562.7200,138478304,83562.7200,5718
Bimeh,d,20201220,000000,84218.9800,84218.9800,83474.7200,83768.2300,196405238,83768.2300,5718
Bimeh,d,20201221,000000,84364.7400,86565.9200,84364.7400,86560.0400,229264231,86560.0400,5718
Bimeh,d,20201222,000000,86673.9600,87765.4400,86673.9600,87757.4800,348467519,87757.4800,5718
Bimeh,d,20201223,000000,87620.4800,88656.3100,87620.4800,88656.9100,298070320,88656.910,5718
Bimeh,d,20201226,000000,89504.1800,89941.8300,89127.1400,89143.5400,254982259,89143.5400,5718
Bimeh,d,20201227,000000,89005.1600,89005.1600,88091.5900,88089.2600,191618156,88089.260,5718
Bimeh,d,20201228,000000,87136.1100,87136.1100,86098.9700,86636.6800,186059190,86636.680,5718
Bimeh,d,20201229,000000,87132.8500,87390.9700,86378.7000,87409.6600,280406164,87409.6600,5718
Bimeh,d,20201230,000000,87834.4600,88679.0000,87834.4600,88109.3000,167482039,88109.3000,5718
Bimeh,d,20210102,000000,87052.8300,87052.8300,85991.7700,85994.5800,88131317,85994.580,5718
Bimeh,d,20210103,000000,85000.4300,85865.8900,85000.4300,85534.0800,199601007,85534.0800,5718
Bimeh,d,20210104,000000,86222.9100,86887.8100,86140.3500,86874.1700,305677967,86874.170,5718
Bimeh,d,20210105,000000,86692.6200,87072.3200,86344.1800,86359.7300,250354574,86359.7300,5718
Bimeh,d,20210106,000000,85487.8400,85487.8400,83760.1500,83800.6300,84443591,83800.630,5718
Bimeh,d,20210109,000000,82081.7000,82081.7000,81399.2800,81399.4100,69516808,81399.410,5718
Bimeh,d,20210110,000000,80407.0700,80555.2300,80152.1700,80475.3700,278892392,80475.3700,5718
Bimeh,d,20210111,000000,80833.9700,80833.9700,80065.3600,80055.2000,252365935,80055.2000,5718
Bimeh,d,20210112,000000,79506.2900,79506.2900,77873.3900,77864.0500,103802107,77864.0500,5718
Bimeh,d,20210113,000000,76403.1900,76403.1900,75750.5800,75746.0300,89042536,75746.0300,5718
Bimeh,d,20210116,000000,74411.7100,74411.7100,73952.9500,73973.7500,20254193,73973.7500,5718
Bimeh,d,20210118,000000,73716.6000,73716.6000,67913.5000,73270.3200,173007708,73270.3200,5718
Bimeh,d,20210119,000000,73102.5800,73102.5800,71223.6000,71286.8900,138005072,71286.8900,5718
Bimeh,d,20210120,000000,71206.5000,71721.1200,71206.5000,71315.1100,341826364,71315.1100,5718
Bimeh,d,20210123,000000,71983.4700,72704.4900,70756.8600,71306.6000,419972608,71306.6000,5718
Bimeh,d,20210124,000000,72596.0800,72638.0600,69954.7400,69941.6100,366935145,69941.6100,5718
Bimeh,d,20210125,000000,69111.1800,69111.1800,68020.2800,68229.7800,187223614,68229.7800,5718
Bimeh,d,20210126,000000,67842.0300,67842.0300,66977.9300,66976.8800,80016777,66976.8800,5718
Bimeh,d,20210127,000000,66193.8000,66193.8000,65232.8200,66023.4500,517079793,66023.4500,5718
Bimeh,d,20210130,000000,66859.5000,68503.5900,66859.5000,68519.3700,145295086,68519.3700,5718
Bimeh,d,20210131,000000,69763.6900,69763.6900,67548.3400,67547.5700,347081868,67547.5700,5718
Bimeh,d,20210201,000000,65608.8800,65608.8800,64809.1200,64812.8100,133974880,64812.8100,5718
Bimeh,d,20210202,000000,64018.7200,64018.7200,63178.2100,63296.9800,302849573,63296.9800,5718
Bimeh,d,20210203,000000,63705.3600,63705.3600,62424.4900,62432.5700,149956512,62432.5700,5718
Bimeh,d,20210206,000000,62079.6500,62079.6500,61480.2800,61475.6800,48679490,61475.6800,5718
Bimeh,d,20210207,000000,61373.3600,62293.0200,61373.3600,62293.6100,368134035,62293.6100,5718
Bimeh,d,20210208,000000,62738.5900,62738.5900,61021.3700,60994.2200,239811074,60994.220,5718
Bimeh,d,20210209,000000,60657.1700,61373.9300,60657.1700,61356.7900,221878571,61356.7900,5718
Bimeh,d,20210213,000000,62317.6300,63897.7500,62317.6300,63905.5400,243081088,63905.540,5718
Bimeh,d,20210214,000000,64602.3300,64664.6400,64357.6900,64658.8400,150476557,64658.840,5718
Bimeh,d,20210215,000000,64499.4800,64694.4600,64499.4800,64541.3400,70271729,64541.3400,5718
Bimeh,d,20210216,000000,64518.9400,64598.6700,64484.0900,64480.6800,52736575,64480.6800,5718
Bimeh,d,20210217,000000,64700.1500,64940.7800,64643.2000,64731.5400,68018819,64731.540,5718
Bimeh,d,20210220,000000,65077.0500,65253.7500,65057.5700,65036.2900,71926343,65036.2900,5718
Bimeh,d,20210221,000000,64874.4100,64874.4100,64662.5300,64664.7300,13534400,64664.730,5718
Bimeh,d,20210222,000000,65300.9700,65351.0200,64988.1600,65015.9800,62532038,65015.9800,5718
Bimeh,d,20210223,000000,65004.0800,65004.0800,64562.0000,64536.5200,24820063,64536.520,5718
Bimeh,d,20210224,000000,64382.2100,64382.2100,64226.8800,64233.4200,12237251,64233.420,5718
Bimeh,d,20210227,000000,64225.7900,64225.7900,64110.4400,64136.4000,6592441,64136.4000,5718
Bimeh,d,20210228,000000,64130.1600,64130.1600,63924.0800,63948.4800,4696106,63948.4800,5718
Bimeh,d,20210301,000000,63896.5700,63896.5700,63527.4100,63524.3900,14326382,63524.3900,5718
Bimeh,d,20210302,000000,63492.8700,63492.8700,62927.7000,62935.8100,45745604,62935.8100,5718
Bimeh,d,20210303,000000,62873.1600,62873.1600,62439.4200,62465.8600,29943910,62465.8600,5718
Bimeh,d,20210306,000000,62386.6300,62386.6300,62066.2300,62090.9600,17868988,62090.9600,5718
Bimeh,d,20210307,000000,62047.1200,62047.1200,61610.4000,61629.5400,32267974,61629.5400,5718
Bimeh,d,20210308,000000,61581.0700,61581.0700,61294.5200,61568.3400,59991707,61568.3400,5718
Bimeh,d,20210309,000000,61605.5700,61617.6200,61146.5600,61177.2900,29995673,61177.2900,5718
Bimeh,d,20210310,000000,61141.9500,61141.9500,60805.7000,60806.0600,11038842,60806.0600,5718
Bimeh,d,20210313,000000,60617.4600,60617.4600,60505.3700,60501.2800,55172447,60501.2800,5718
Bimeh,d,20210314,000000,60556.1000,60627.3900,60510.2700,60486.6000,47026630,60486.6000,5718
Bimeh,d,20210315,000000,60438.2200,60438.2200,60362.4800,60446.7800,28961741,60446.7800,5718
Bimeh,d,20210316,000000,60369.2200,60706.8000,60229.6000,60741.4100,240116152,60741.4100,5718
