<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BTCUSDT,d,20211217,000000,47632.3800,47995.9600,45456.0000,46131.2000,43104.4887,46131.2000,5718
BTCUSDT,d,20211218,000000,46133.8300,47392.3700,45500.0000,46834.4800,25020.05271,46834.4800,5718
BTCUSDT,d,20211219,000000,46834.4700,48300.0100,46406.9100,46681.2300,29305.70665,46681.2300,5718
BTCUSDT,d,20211220,000000,46681.2400,47537.5700,45558.8500,46914.1600,35848.50609,46914.1600,5718
BTCUSDT,d,20211221,000000,46914.1700,49328.9600,46630.0000,48889.8800,37713.92924,48889.880,5718
BTCUSDT,d,20211222,000000,48887.5900,49576.1300,48421.8700,48588.1600,27004.2022,48588.1600,5718
BTCUSDT,d,20211223,000000,48588.1700,51375.0000,47920.4200,50838.8100,35192.54046,50838.810,5718
BTCUSDT,d,20211224,000000,50838.8200,51810.0000,50384.4300,50820.0000,31661.94946,50820.000,5718
BTCUSDT,d,20211225,000000,50819.9900,51156.2300,50142.3200,50399.6600,19135.51613,50399.6600,5718
BTCUSDT,d,20211226,000000,50399.6700,51280.0000,49412.0000,50775.4900,22569.88914,50775.4900,5718
BTCUSDT,d,20211227,000000,50775.4800,52088.0000,50449.0000,50701.4400,28779.58212,50701.440,5718
BTCUSDT,d,20211228,000000,50701.4400,50704.0500,47313.0100,47543.7400,45853.33924,47543.7400,5718
BTCUSDT,d,20211229,000000,47543.7400,48139.0800,46096.9900,46464.6600,39498.87,46464.660,5718
BTCUSDT,d,20211230,000000,46464.6600,47900.0000,45900.0000,47120.8700,30352.29569,47120.8700,5718
BTCUSDT,d,20211231,000000,47120.8800,48548.2600,45678.0000,46216.9300,34937.99796,46216.930,5718
BTCUSDT,d,20220101,000000,46216.9300,47954.6300,46208.3700,47722.6500,19604.46325,47722.650,5718
BTCUSDT,d,20220102,000000,47722.6600,47990.0000,46654.0000,47286.1800,18340.4604,47286.1800,5718
BTCUSDT,d,20220103,000000,47286.1800,47570.0000,45696.0000,46446.1000,27662.0771,46446.1000,5718
BTCUSDT,d,20220104,000000,46446.1000,47557.5400,45500.0000,45832.0100,35491.4136,45832.0100,5718
BTCUSDT,d,20220105,000000,45832.0100,47070.0000,42500.0000,43451.1300,51784.11857,43451.1300,5718
BTCUSDT,d,20220106,000000,43451.1400,43816.0000,42430.5800,43082.3100,38880.37305,43082.3100,5718
BTCUSDT,d,20220107,000000,43082.3000,43145.8300,40610.0000,41566.4800,54836.50818,41566.4800,5718
BTCUSDT,d,20220108,000000,41566.4800,42300.0000,40501.0000,41679.7400,32952.73111,41679.7400,5718
BTCUSDT,d,20220109,000000,41679.7400,42786.7000,41200.0200,41864.6200,22724.39426,41864.6200,5718
BTCUSDT,d,20220110,000000,41864.6200,42248.5000,39650.0000,41822.4900,50729.17019,41822.4900,5718
BTCUSDT,d,20220111,000000,41822.4900,43100.0000,41268.9300,42729.2900,37296.43729,42729.2900,5718
BTCUSDT,d,20220112,000000,42729.2900,44322.0000,42450.0000,43902.6600,33943.2928,43902.6600,5718
BTCUSDT,d,20220113,000000,43902.6500,44500.0000,42311.2200,42560.1100,34910.87762,42560.1100,5718
BTCUSDT,d,20220114,000000,42558.3500,43448.7800,41725.9500,43059.9600,32640.88292,43059.9600,5718
BTCUSDT,d,20220115,000000,43059.9600,43800.0000,42555.0000,43084.2900,21936.05616,43084.2900,5718
BTCUSDT,d,20220116,000000,43084.2900,43475.0000,42581.7900,43071.6600,20602.35271,43071.6600,5718
BTCUSDT,d,20220117,000000,43071.6600,43176.1800,41540.4200,42201.6200,27562.08613,42201.6200,5718
BTCUSDT,d,20220118,000000,42201.6300,42691.0000,41250.0000,42352.1200,29324.08257,42352.1200,5718
BTCUSDT,d,20220119,000000,42352.1200,42559.1300,41138.5600,41660.0100,31685.72159,41660.0100,5718
BTCUSDT,d,20220120,000000,41660.0000,43505.0000,40553.3100,40680.9100,42330.33953,40680.9100,5718
BTCUSDT,d,20220121,000000,40680.9200,41100.0000,35440.4500,36445.3100,88860.891999,36445.3100,5718
BTCUSDT,d,20220122,000000,36445.3100,36835.2200,34008.0000,35071.4200,90471.338961,35071.420,5718
BTCUSDT,d,20220123,000000,35071.4200,36499.0000,34601.0100,36244.5500,44279.52354,36244.5500,5718
BTCUSDT,d,20220124,000000,36244.5500,37550.0000,32917.1700,36660.3500,91904.753211,36660.350,5718
BTCUSDT,d,20220125,000000,36660.3500,37545.1400,35701.0000,36958.3200,49232.40183,36958.320,5718
BTCUSDT,d,20220126,000000,36958.3200,38919.9800,36234.6300,36809.3400,69830.16036,36809.3400,5718
BTCUSDT,d,20220127,000000,36807.2400,37234.4700,35507.0100,37160.1000,53020.87934,37160.1000,5718
BTCUSDT,d,20220128,000000,37160.1100,38000.0000,36155.0100,37716.5600,42154.26956,37716.560,5718
BTCUSDT,d,20220129,000000,37716.5700,38720.7400,37268.4400,38166.8400,26129.49682,38166.8400,5718
BTCUSDT,d,20220130,000000,38166.8300,38359.2600,37351.6300,37881.7600,21430.66527,37881.760,5718
BTCUSDT,d,20220131,000000,37881.7500,38744.0000,36632.6100,38466.9000,36855.2458,38466.9000,5718
BTCUSDT,d,20220201,000000,38466.9000,39265.2000,38000.0000,38694.5900,34574.44663,38694.590,5718
BTCUSDT,d,20220202,000000,38694.5900,38855.9200,36586.9500,36896.3600,35794.6813,36896.360,5718
BTCUSDT,d,20220203,000000,36896.3700,37387.0000,36250.0000,37319.1100,32079.72862,37319.1100,5718
BTCUSDT,d,20220204,000000,37311.9800,41772.3300,37026.7300,41571.7000,64703.9149,41571.7000,5718
BTCUSDT,d,20220205,000000,41571.7000,41913.6900,40843.0100,41382.5900,32532.29617,41382.5900,5718
BTCUSDT,d,20220206,000000,41382.6000,42656.0000,41116.5600,42381.7200,22405.13079,42381.7200,5718
BTCUSDT,d,20220207,000000,42380.8700,44500.5000,41645.8500,43840.0000,51060.59088,43840.0000,5718
BTCUSDT,d,20220208,000000,43839.9900,45492.0000,42666.0000,44043.0000,64880.16131,44043.0000,5718
BTCUSDT,d,20220209,000000,44043.0000,44799.0000,43117.9200,44372.2100,34428.07362,44372.2100,5718
BTCUSDT,d,20220210,000000,44372.7100,45821.0000,43174.0100,43495.4400,62357.2653,43495.4400,5718
BTCUSDT,d,20220211,000000,43495.4400,43920.0000,41938.5100,42373.7300,44975.07501,42373.7300,5718
BTCUSDT,d,20220212,000000,42373.7300,43079.4900,41688.8800,42213.6300,26556.73315,42213.6300,5718
BTCUSDT,d,20220213,000000,42217.8700,42760.0000,41870.0000,42058.3000,17731.72529,42058.3000,5718
BTCUSDT,d,20220214,000000,42053.6500,42842.4000,41550.5600,42532.2700,34009.84866,42532.2700,5718
BTCUSDT,d,20220215,000000,42535.9400,44751.4000,42427.0300,44544.8500,38095.16111,44544.8500,5718
BTCUSDT,d,20220216,000000,44544.8500,44549.9700,43307.0000,43873.5700,28471.7087,43873.5700,5718
BTCUSDT,d,20220217,000000,43873.5600,44164.7100,40073.2100,40512.2300,47245.81643,40512.2300,5718
BTCUSDT,d,20220218,000000,40515.7100,40959.8800,39450.0000,39974.4500,43845.88246,39974.4500,5718
BTCUSDT,d,20220219,000000,39974.4500,40444.3200,39639.0300,40080.8900,18042.01275,40080.8900,5718
BTCUSDT,d,20220220,000000,40079.1700,40125.4400,38000.0000,38386.8800,33439.09477,38386.8800,5718
BTCUSDT,d,20220221,000000,38386.8900,39494.3500,36800.0000,37011.4200,62346.81355,37011.4200,5718
BTCUSDT,d,20220222,000000,37008.1600,38429.0000,36350.0000,38239.2200,53785.12573,38239.2200,5718
BTCUSDT,d,20220223,000000,38230.3300,39249.9300,37036.7900,37235.7700,43558.02606,37235.770,5718
BTCUSDT,d,20220224,000000,37250.0200,39843.0000,34322.2800,38324.9600,120475.84329,38324.9600,5718
BTCUSDT,d,20220225,000000,38328.6800,39683.5300,38014.3700,39219.1700,56574.49707,39219.170,5718
BTCUSDT,d,20220226,000000,39219.1600,40348.4500,38573.1800,39116.7300,29361.20397,39116.730,5718
BTCUSDT,d,20220227,000000,39116.7300,39855.7000,37000.0000,37686.0200,46228.44544,37686.0200,5718
BTCUSDT,d,20220228,000000,37699.0800,44225.8400,37450.1700,43169.3300,73942.41026,43169.3300,5718
BTCUSDT,d,20220301,000000,43160.0000,44949.0000,42809.9800,44423.4600,61743.03833,44423.460,5718
BTCUSDT,d,20220302,000000,44421.2000,45400.0000,43334.0900,43892.9900,57782.58043,43892.9900,5718
BTCUSDT,d,20220303,000000,43892.9900,44101.1200,41832.2800,42454.0100,50940.58612,42454.010,5718
BTCUSDT,d,20220304,000000,42454.0000,42527.3000,38550.0000,39143.0400,61959.0139,39143.0400,5718
BTCUSDT,d,20220305,000000,39148.6500,39613.2400,38407.5900,39392.6800,30344.01891,39392.680,5718
BTCUSDT,d,20220306,000000,39397.9700,39693.8700,38088.5700,38420.8100,39677.02963,38420.810,5718
BTCUSDT,d,20220307,000000,38420.8000,39547.5700,37155.0000,37988.7300,63994.08945,37988.7300,5718
BTCUSDT,d,20220308,000000,37988.0100,39362.0800,37867.6500,38730.6400,55533.87322,38730.6400,5718
BTCUSDT,d,20220309,000000,38730.6300,42594.0600,38656.4500,41948.9400,67375.52498,41948.9400,5718
BTCUSDT,d,20220310,000000,41941.7000,42039.6300,38539.7300,39422.0000,71958.66519,39422.0000,5718
BTCUSDT,d,20220311,000000,39422.0100,40236.2600,38223.6000,38729.5700,59018.73727,38729.5700,5718
BTCUSDT,d,20220312,000000,38729.5700,39486.7100,38660.5200,38807.3500,24034.3392,38807.3500,5718
BTCUSDT,d,20220313,000000,38807.3500,39310.0000,37578.5100,37774.0000,32791.39034,37774.0000,5718
BTCUSDT,d,20220314,000000,37777.3500,39947.1200,37555.0000,39667.3800,46941.24741,39667.3800,5718
BTCUSDT,d,20220315,000000,39671.3700,39887.6100,38098.3300,39280.3300,46015.52239,39280.3300,5718
BTCUSDT,d,20220316,000000,39280.3300,41718.0000,38828.4800,41115.5000,88119.7975,41115.5000,5718
BTCUSDT,d,20220317,000000,41114.0100,41478.8200,40500.0000,40917.8900,37188.99125,40917.8900,5718
BTCUSDT,d,20220318,000000,40917.8900,42325.0200,40135.0400,41757.5100,45407.93458,41757.5100,5718
BTCUSDT,d,20220319,000000,41757.5100,42400.0000,41499.2900,42206.0000,29066.89021,42206.0000,5718
BTCUSDT,d,20220320,000000,42201.1300,42296.2600,40911.0000,41261.3600,30652.06031,41261.3600,5718
BTCUSDT,d,20220321,000000,41262.1100,41544.2200,40467.9400,41004.3900,39425.73868,41004.3900,5718
BTCUSDT,d,20220322,000000,41002.2600,43361.0000,40875.5100,42364.1400,59454.92425,42364.1400,5718
BTCUSDT,d,20220323,000000,42364.1300,43025.9600,41751.4700,42882.7700,40828.85228,42882.7700,5718
BTCUSDT,d,20220324,000000,42882.7600,44220.8900,42560.4600,43994.2600,56194.85674,43994.2600,5718
BTCUSDT,d,20220325,000000,43991.4600,45094.1400,43579.0000,44314.4600,54611.46575,44314.4600,5718
BTCUSDT,d,20220326,000000,44313.1600,44792.9900,44071.9700,44511.2700,23041.59083,44511.2700,5718
BTCUSDT,d,20220327,000000,44511.2700,46999.0000,44421.4600,46827.7700,41874.89568,46827.770,5718
BTCUSDT,d,20220328,000000,46827.7600,48189.8400,46663.5600,47122.2000,58948.97827,47122.2000,5718
BTCUSDT,d,20220329,000000,47122.2100,48096.4700,46950.8500,47434.7900,36772.23453,47434.790,5718
BTCUSDT,d,20220330,000000,47434.7900,47700.2200,46445.4200,47064.5000,40946.58843,47064.500,5718
BTCUSDT,d,20220331,000000,47067.9900,47600.0000,45200.0000,45510.3500,48645.03349,45510.3500,5718
BTCUSDT,d,20220401,000000,45510.3500,46720.0900,44200.0000,46283.4900,56271.02669,46283.4900,5718
BTCUSDT,d,20220402,000000,46283.4900,47213.0000,45620.0000,45811.0000,37073.44837,45811.000,5718
BTCUSDT,d,20220403,000000,45810.9900,47444.1100,45530.9200,46407.3600,33394.65701,46407.3600,5718
BTCUSDT,d,20220404,000000,46407.3600,46890.7100,45118.0000,46580.5100,44641.14525,46580.510,5718
BTCUSDT,d,20220405,000000,46580.5000,47200.0000,45353.8100,45497.5500,42192.2708,45497.5500,5718
BTCUSDT,d,20220406,000000,45497.5400,45507.1400,43121.0000,43178.8500,60847.92226,43178.850,5718
BTCUSDT,d,20220407,000000,43170.4700,43900.9900,42727.3500,43455.2000,37395.10983,43455.200,5718
BTCUSDT,d,20220408,000000,43444.2000,43970.6200,42107.1400,42261.5900,42374.8452,42261.5900,5718
BTCUSDT,d,20220409,000000,42252.0200,42800.0000,42125.4800,42753.9600,17891.4587,42753.9600,5718
BTCUSDT,d,20220410,000000,42753.9600,43410.3000,41868.0000,42152.3200,22769.31481,42152.3200,5718
BTCUSDT,d,20220411,000000,42158.8500,42414.7100,39200.0000,39530.4500,63560.39517,39530.4500,5718
BTCUSDT,d,20220412,000000,39530.4500,40699.0000,39254.6300,40074.9400,57750.98737,40074.9400,5718
BTCUSDT,d,20220413,000000,40074.9500,41561.3100,39588.5400,41147.7900,41342.24328,41147.7900,5718
BTCUSDT,d,20220414,000000,41147.7800,41500.0000,39551.9400,39942.3800,36805.87599,39942.3800,5718
BTCUSDT,d,20220415,000000,39942.3700,40870.3600,39766.4000,40551.9000,24026.31657,40551.9000,5718
BTCUSDT,d,20220416,000000,40551.9000,40709.3500,39991.5500,40374.3700,15804.60816,40374.3700,5718
BTCUSDT,d,20220417,000000,40378.7000,40595.6700,39546.1700,39676.5400,19985.68391,39676.5400,5718
BTCUSDT,d,20220418,000000,39678.1100,41116.7300,38536.5100,40801.1300,54243.4457,40801.1300,5718
BTCUSDT,d,20220419,000000,40801.1300,41760.0000,40571.0000,41493.1800,35788.79217,41493.1800,5718
BTCUSDT,d,20220420,000000,41493.1900,42199.0000,40820.0000,41358.1900,40877.32917,41358.1900,5718
BTCUSDT,d,20220421,000000,41358.1900,42976.0000,39751.0000,40480.4000,59314.24778,40480.4000,5718
BTCUSDT,d,20220422,000000,40480.0100,40795.0600,39177.0000,39709.1800,46663.73898,39709.1800,5718
BTCUSDT,d,20220423,000000,39709.1900,39980.0000,39285.0000,39429.5900,20289.65075,39429.5900,5718
BTCUSDT,d,20220424,000000,39441.6100,39940.0000,38929.6200,39450.1300,26703.51419,39450.1300,5718
BTCUSDT,d,20220425,000000,39450.1200,40616.0000,38200.0000,40426.0700,63035.60315,40426.0700,5718
BTCUSDT,d,20220426,000000,40426.0800,40797.3100,37702.2600,38112.6400,66650.22648,38112.6400,5718
BTCUSDT,d,20220427,000000,38112.6400,39474.7200,37881.3100,39235.7300,57082.91078,39235.7300,5718
BTCUSDT,d,20220428,000000,39235.7200,40372.6300,38881.4300,39742.0700,56086.58436,39742.070,5718
BTCUSDT,d,20220429,000000,39742.0600,39925.2500,38175.0000,38596.1100,51453.62046,38596.1100,5718
BTCUSDT,d,20220430,000000,38596.1100,38795.3800,37578.2000,37630.4600,35321.08711,37630.460,5718
BTCUSDT,d,20220501,000000,37630.8000,38675.0000,37386.3800,38475.0900,38811.99298,38475.090,5718
BTCUSDT,d,20220502,000000,38468.3500,39167.3400,38052.0000,38525.1700,53200.90026,38525.1700,5718
BTCUSDT,d,20220503,000000,38525.1600,38651.5100,37517.8000,37734.7900,40306.83361,37734.7900,5718
BTCUSDT,d,20220504,000000,37728.9500,40023.7700,37670.0000,39690.0100,62574.52947,39690.010,5718
BTCUSDT,d,20220505,000000,39690.0000,39845.5100,35571.9000,36552.9800,88722.14457,36552.9800,5718
BTCUSDT,d,20220506,000000,36552.9700,36675.6300,35258.0000,36013.7600,68437.76418,36013.760,5718
BTCUSDT,d,20220507,000000,36013.7700,36146.3000,34785.0000,35472.4000,34281.63322,35472.4000,5718
BTCUSDT,d,20220508,000000,35472.4000,35514.2200,33713.9500,34034.4500,72445.55776,34034.450,5718
BTCUSDT,d,20220509,000000,34038.3900,34243.1500,30033.3300,30085.6000,191876.321558,30085.600,5718
BTCUSDT,d,20220510,000000,30074.2300,32658.9900,29730.4000,31017.0900,165531.83144,31017.0900,5718
BTCUSDT,d,20220511,000000,31017.1100,32162.5900,29039.5400,30546.5800,157225.268427,30546.5800,5718
BTCUSDT,d,20220512,000000,29103.9400,30243.0000,26700.0000,29029.7400,204506.757628,29029.7400,5718
BTCUSDT,d,20220513,000000,29029.7400,31083.3700,28751.6700,29287.0600,97872.32981,29287.0600,5718
BTCUSDT,d,20220514,000000,29287.0500,30343.2700,28630.0000,30086.7400,51095.85397,30086.7400,5718
BTCUSDT,d,20220515,000000,30086.7400,31460.0000,29480.0000,31328.9100,46275.64431,31328.9100,5718
BTCUSDT,d,20220516,000000,31328.8900,31328.9000,29087.0400,29874.0100,73082.16696,29874.0100,5718
BTCUSDT,d,20220517,000000,29874.0100,30788.3700,29450.3800,30444.9400,56724.08387,30444.9400,5718
BTCUSDT,d,20220518,000000,30444.9300,30709.9900,28654.4700,28715.3300,59748.8884,28715.3300,5718
BTCUSDT,d,20220519,000000,28715.3300,30545.1800,28691.3800,30319.2300,67877.21192,30319.2300,5718
BTCUSDT,d,20220520,000000,30319.2200,30777.3300,28730.0000,29201.0000,60516.96536,29201.0000,5718
BTCUSDT,d,20220521,000000,29201.0100,29656.1800,28947.2800,29445.0600,20987.08227,29445.0600,5718
BTCUSDT,d,20220522,000000,29445.0700,30487.9900,29255.1100,30293.9400,36158.9323,30293.9400,5718
BTCUSDT,d,20220523,000000,30293.9300,30670.5100,28866.3500,29109.1500,63901.46043,29109.1500,5718
BTCUSDT,d,20220524,000000,29109.1400,29845.8600,28669.0000,29654.5900,59442.90999,29654.5900,5718
BTCUSDT,d,20220525,000000,29654.5800,30223.7400,29294.2100,29542.1500,59537.3383,29542.1500,5718
BTCUSDT,d,20220526,000000,29542.1400,29886.6400,28019.5600,29222.2300,94566.26127,29222.2300,5718
BTCUSDT,d,20220527,000000,29201.3500,29397.6600,28282.9000,28624.7500,90997.77438,28624.7500,5718
